epoch,d_a,g_a,cycle_a,idt_a,d_b,g_b,cycle_b,idt_b
1.0799990000000002,0.409,0.597,2.277,0.304,1.176,1.386,2.795,0.236
1.159999,0.404,0.485,1.526,0.221,0.346,0.452,2.088,0.158
1.239999,0.396,0.380,1.281,0.203,0.501,0.601,1.712,0.128
1.3199990000000001,0.226,0.427,1.679,0.168,0.258,0.443,1.985,0.151
1.399999,0.258,0.381,1.110,0.151,0.295,0.443,1.393,0.122
1.479999,0.258,0.366,1.314,0.151,0.350,0.402,1.716,0.145
1.5599990000000001,0.235,0.364,1.255,0.169,0.276,0.348,1.549,0.150
1.6399990000000002,0.266,0.355,1.338,0.132,0.384,0.476,1.231,0.129
1.719999,0.273,0.422,0.958,0.139,0.236,0.350,1.410,0.100
1.7999990000000001,0.244,0.366,1.116,0.147,0.270,0.394,1.458,0.105
1.879999,0.232,0.384,1.016,0.150,0.275,0.279,1.432,0.098
1.959999,0.265,0.318,1.255,0.126,0.273,0.355,1.266,0.123
2.028799,0.249,0.373,1.087,0.133,0.239,0.344,1.315,0.119
2.108799,0.330,0.372,1.015,0.142,0.250,0.357,1.440,0.099
2.188799,0.264,0.329,0.915,0.130,0.235,0.346,1.305,0.091
2.268799,0.252,0.404,1.061,0.135,0.304,0.401,1.432,0.111
2.3487989999999996,0.215,0.436,1.170,0.127,0.269,0.313,1.261,0.127
2.4287989999999997,0.211,0.409,0.990,0.119,0.256,0.389,1.199,0.103
2.508799,0.241,0.344,0.985,0.116,0.243,0.324,1.135,0.097
2.588799,0.220,0.336,0.872,0.109,0.248,0.380,1.133,0.084
2.668799,0.214,0.331,0.960,0.114,0.230,0.267,1.219,0.088
2.748799,0.217,0.506,0.932,0.107,0.231,0.260,1.151,0.097
2.828799,0.205,0.312,1.155,0.125,0.679,0.758,1.192,0.109
2.908799,0.192,0.323,1.072,0.115,0.217,0.287,1.148,0.090
2.9887989999999998,0.345,0.408,1.318,0.111,0.218,0.346,1.137,0.124
3.0575989999999997,0.235,0.492,0.836,0.111,0.227,0.394,1.148,0.074
3.137599,0.227,0.230,0.910,0.112,0.213,0.325,1.111,0.082
3.217599,0.198,0.362,0.803,0.121,0.221,0.317,1.254,0.071
3.297599,0.163,0.383,0.845,0.109,0.883,0.981,1.096,0.074
3.377599,0.211,0.329,1.294,0.103,0.243,0.325,1.097,0.117
3.457599,0.255,0.254,0.995,0.114,0.201,0.357,1.193,0.102
3.5375989999999997,0.213,0.469,0.785,0.122,0.208,0.344,1.151,0.073
3.617599,0.191,0.429,0.829,0.099,0.187,0.410,0.986,0.082
3.697599,0.177,0.313,1.372,0.110,0.195,0.351,1.094,0.113
3.777599,0.164,0.370,1.086,0.107,0.288,0.458,1.072,0.088
3.857599,0.183,0.272,1.685,0.110,0.318,0.493,1.131,0.160
3.9375989999999996,0.182,0.603,1.092,0.110,0.197,0.412,1.157,0.120
4.006399,0.207,0.299,0.798,0.105,0.187,0.401,1.087,0.072
4.086399,0.250,0.692,1.018,0.104,0.188,0.300,1.115,0.100
4.166399,0.196,0.346,1.170,0.110,0.256,0.744,1.325,0.089
4.246399,0.406,0.292,0.795,0.090,0.185,0.278,0.978,0.073
4.326398999999999,0.207,0.337,0.860,0.098,0.228,0.525,1.001,0.077
4.4063989999999995,0.284,0.132,0.868,0.102,0.186,0.531,1.145,0.082
4.486399,0.155,0.458,1.168,0.096,0.206,0.350,1.012,0.097
4.566399,0.159,0.274,1.098,0.101,0.123,0.355,1.054,0.109
4.646399,0.293,0.706,1.012,0.113,0.233,0.483,1.232,0.114
4.726399,0.151,0.319,0.797,0.097,0.267,0.193,1.083,0.069
4.806399,0.174,0.743,0.897,0.112,0.148,0.468,1.154,0.082
4.886399,0.193,0.601,0.877,0.095,0.168,0.229,0.999,0.087
4.966399,0.193,0.422,0.846,0.099,0.138,0.318,1.097,0.075
5.0351989999999995,0.180,0.426,0.847,0.098,0.178,0.247,1.050,0.077
5.115199,0.171,0.253,0.768,0.098,0.199,0.598,1.031,0.068
5.195199,0.197,0.303,0.886,0.098,0.146,0.437,1.036,0.077
5.275199,0.149,0.484,0.774,0.097,0.134,0.223,1.035,0.080
5.355199,0.215,0.186,1.021,0.098,0.118,0.189,1.035,0.089
5.435199,0.204,0.117,0.811,0.086,0.173,0.405,1.018,0.075
5.515199,0.208,0.103,0.919,0.091,0.143,0.427,0.975,0.076
5.595199,0.195,0.201,0.806,0.105,0.263,0.522,1.070,0.069
5.675199,0.285,1.065,0.941,0.102,0.159,0.132,1.203,0.092
5.755199,0.129,0.387,0.997,0.107,0.287,0.159,1.096,0.080
5.835199,0.135,0.341,0.698,0.096,0.176,0.256,1.024,0.066
5.915199,0.147,0.326,0.776,0.105,0.145,0.244,1.084,0.066
5.9951989999999995,0.356,0.061,0.726,0.109,0.165,0.124,1.214,0.072
6.063999,0.156,0.594,0.961,0.113,0.199,0.349,1.413,0.088
6.143999,0.263,0.586,1.034,0.101,0.112,0.410,1.120,0.091
6.223999,0.151,0.345,0.796,0.120,0.193,0.245,1.167,0.078
6.303999,0.100,0.246,0.991,0.099,0.214,0.110,1.138,0.082
6.383999,0.170,0.544,0.828,0.095,0.181,0.438,0.970,0.074
6.463999,0.177,0.762,0.882,0.108,0.231,0.170,1.145,0.072
6.543999,0.131,0.213,0.976,0.092,0.221,0.283,0.995,0.088
6.6239989999999995,0.163,0.171,0.784,0.100,0.236,0.494,1.044,0.073
6.703999,0.098,0.550,1.052,0.099,0.125,0.398,1.055,0.098
6.783999,0.090,0.546,0.895,0.085,0.229,0.199,0.878,0.083
6.863999,0.239,0.133,0.751,0.100,0.090,0.141,1.098,0.058
6.943999,0.132,0.722,0.773,0.087,0.197,0.264,0.947,0.085
7.012799,0.138,0.645,0.687,0.096,0.131,0.391,1.015,0.064
7.092799,0.418,1.379,1.052,0.102,0.156,0.549,1.085,0.094
7.1727989999999995,0.154,0.322,0.815,0.114,0.231,0.674,1.170,0.073
7.2527989999999996,0.085,0.306,0.698,0.103,0.311,0.798,1.109,0.060
7.332799,0.078,0.271,0.799,0.100,0.226,0.152,1.086,0.075
7.412799,0.155,0.189,0.891,0.090,0.194,0.243,0.931,0.093
7.492799,0.158,0.850,0.907,0.106,0.131,0.338,1.098,0.079
7.572799,0.375,0.105,1.194,0.093,0.328,0.891,0.944,0.096
7.652799,0.142,0.205,0.853,0.093,0.079,0.429,1.083,0.083
7.732799,0.156,0.755,0.852,0.095,0.105,0.372,1.165,0.077
7.812799,0.188,0.423,0.796,0.095,0.156,0.514,1.020,0.053
7.892799,0.401,1.119,0.664,0.097,0.152,0.517,1.017,0.060
7.972799,0.280,0.085,0.982,0.076,0.125,0.195,0.877,0.077
8.041599000000001,0.221,0.164,0.750,0.085,0.141,0.380,0.864,0.067
8.121599000000002,0.116,0.241,0.930,0.119,0.176,0.296,1.249,0.081
8.201599,0.111,0.248,0.894,0.109,0.508,0.307,1.097,0.071
8.281599,0.252,0.313,1.396,0.114,0.153,0.491,1.228,0.163
8.361599,0.248,0.301,0.883,0.109,0.197,0.239,0.966,0.112
8.441599,0.247,0.245,0.762,0.106,0.168,0.352,1.048,0.070
8.521599,0.227,0.298,0.925,0.100,0.245,0.099,0.985,0.092
8.601599,0.234,0.292,0.917,0.076,0.131,0.294,0.837,0.093
8.681599,0.260,0.280,0.686,0.104,0.203,0.202,0.974,0.064
8.761599,0.239,0.249,0.615,0.086,0.386,0.059,0.934,0.059
8.841599,0.248,0.270,0.641,0.074,0.191,0.250,0.780,0.063
8.921599,0.260,0.294,0.814,0.089,0.138,0.273,0.895,0.076
9.001599,0.241,0.272,0.627,0.079,0.220,0.413,0.827,0.065
9.070399,0.239,0.285,0.618,0.078,0.224,0.583,0.832,0.064
