epoch,d_a,g_a,cycle_a,idt_a,d_b,g_b,cycle_b,idt_b
1.159999,2.137,2.504,1.683,0.221,0.380,0.460,1.975,0.171
1.3199990000000001,0.300,0.469,1.315,0.174,0.298,0.415,1.721,0.132
1.479999,0.284,0.366,1.193,0.172,0.301,0.319,1.588,0.155
1.6399990000000002,0.284,0.498,1.106,0.164,0.261,0.331,1.419,0.125
1.7999990000000001,0.326,0.439,1.136,0.156,0.263,0.334,1.411,0.131
1.959999,0.238,0.371,0.981,0.152,0.262,0.309,1.431,0.102
2.108799,0.488,0.582,1.198,0.140,0.379,0.470,1.327,0.114
2.268799,0.228,0.345,1.083,0.137,0.269,0.379,1.392,0.105
2.4287989999999997,0.420,0.514,1.243,0.123,0.290,0.407,1.209,0.137
2.588799,0.233,0.349,0.934,0.123,0.280,0.321,1.210,0.105
2.748799,0.248,0.333,0.906,0.120,0.273,0.369,1.164,0.094
2.908799,0.253,0.321,0.980,0.123,0.245,0.319,1.262,0.099
3.0575989999999997,0.323,0.378,0.998,0.113,0.241,0.293,1.168,0.095
3.217599,0.241,0.313,1.039,0.110,0.440,0.506,1.094,0.108
3.377599,0.222,0.350,0.894,0.119,0.222,0.330,1.210,0.087
3.5375989999999997,0.304,0.368,0.822,0.112,0.246,0.281,1.105,0.081
3.697599,0.275,0.324,0.929,0.108,0.277,0.347,1.121,0.090
3.857599,0.236,0.319,1.033,0.099,0.239,0.295,0.994,0.102
4.006399,0.228,0.375,0.825,0.102,0.240,0.288,1.064,0.077
4.166399,0.313,0.454,1.049,0.110,0.233,0.347,1.130,0.102
4.326398999999999,0.240,0.347,1.091,0.103,0.297,0.343,1.043,0.100
4.486399,0.229,0.310,0.761,0.095,0.244,0.378,1.039,0.081
4.646399,0.284,0.523,0.901,0.104,0.346,0.429,1.029,0.081
4.806399,0.207,0.364,1.137,0.093,0.232,0.318,0.973,0.098
4.966399,0.210,0.374,0.830,0.110,0.264,0.344,1.141,0.076
5.115199,0.202,0.346,0.980,0.115,0.247,0.287,1.113,0.100
5.275199,0.307,0.456,0.730,0.107,0.238,0.289,1.061,0.071
5.435199,0.212,0.287,0.948,0.103,0.275,0.323,0.995,0.083
5.595199,0.222,0.360,0.841,0.100,0.258,0.420,1.036,0.079
5.755199,0.450,0.507,0.881,0.133,0.202,0.419,1.169,0.099
5.915199,0.235,0.273,0.732,0.099,0.282,0.389,0.917,0.076
6.063999,0.220,0.314,0.665,0.102,0.227,0.347,0.979,0.065
6.223999,0.219,0.304,0.720,0.098,0.324,0.534,1.023,0.068
6.383999,0.212,0.285,0.740,0.107,0.305,0.418,1.093,0.073
6.543999,0.202,0.468,1.037,0.085,0.176,0.479,1.010,0.110
6.703999,0.210,0.270,0.685,0.097,0.231,0.416,0.929,0.072
6.863999,0.240,0.231,0.750,0.097,0.312,0.486,0.986,0.072
7.012799,0.179,0.371,0.817,0.105,0.230,0.404,1.053,0.070
7.1727989999999995,0.193,0.402,0.966,0.109,0.169,0.681,1.254,0.089
7.332799,0.250,0.596,0.872,0.099,0.235,0.355,0.997,0.083
7.492799,0.226,0.419,0.862,0.098,0.200,0.361,1.024,0.078
7.652799,0.213,0.442,0.974,0.102,0.265,0.458,1.079,0.099
7.812799,0.203,0.377,0.856,0.103,0.194,0.426,1.081,0.076
7.972799,0.213,0.368,0.720,0.100,0.235,0.231,0.977,0.071
8.121599000000002,0.190,0.479,0.738,0.097,0.326,0.429,0.990,0.067
8.281599,0.171,0.337,0.714,0.091,0.238,0.341,0.924,0.068
8.441599,0.427,0.452,0.689,0.093,0.208,0.377,0.981,0.061
8.601599,0.213,0.257,0.938,0.088,0.231,0.371,0.935,0.074
8.761599,0.268,0.149,0.743,0.090,0.223,0.507,0.914,0.069
8.921599,0.167,0.303,0.879,0.091,0.234,0.454,0.932,0.066
9.070399,0.205,0.483,0.732,0.095,0.193,0.259,0.943,0.067
9.230399,0.183,0.306,0.982,0.093,0.181,0.397,0.954,0.091
9.390399,0.202,0.482,0.700,0.083,0.177,0.375,0.867,0.062
9.550399,0.230,0.436,0.815,0.087,0.265,0.598,0.946,0.065
9.710399,0.287,0.167,0.888,0.094,0.181,0.369,1.038,0.070
9.870399,0.189,0.452,0.892,0.099,0.179,0.307,1.037,0.086
10.019199,0.166,0.360,1.240,0.095,0.169,0.308,1.000,0.115
10.179199,0.160,0.257,0.799,0.088,0.262,0.436,0.901,0.069
10.339199,0.152,0.552,0.648,0.094,0.174,0.279,0.961,0.066
10.499199,0.231,0.412,0.743,0.093,0.175,0.192,0.968,0.071
10.659199000000001,0.135,0.242,0.677,0.090,0.163,0.406,0.956,0.061
10.819199000000001,0.179,0.300,0.958,0.090,0.500,0.581,0.984,0.095
10.979199000000001,0.196,0.224,0.685,0.094,0.221,0.333,0.968,0.063
11.127999,0.203,0.231,0.716,0.086,0.184,0.255,0.920,0.063
11.287999000000001,0.195,0.597,0.745,0.091,0.205,0.302,0.958,0.069
11.447999000000001,0.192,0.638,0.682,0.085,0.147,0.432,0.903,0.059
11.607999000000001,0.128,0.366,0.665,0.081,0.150,0.298,0.944,0.058
11.767999000000001,0.182,0.181,0.846,0.085,0.192,0.234,0.944,0.083
11.927999000000002,0.242,0.174,0.719,0.097,0.202,0.246,1.028,0.061
12.076799000000001,4.524,4.835,0.799,0.088,0.195,0.385,0.974,0.069
12.236799000000001,0.257,0.265,0.921,0.096,0.146,0.347,0.931,0.085
12.396799000000001,0.259,0.295,0.871,0.094,0.270,0.239,1.002,0.086
12.556799,0.256,0.273,0.716,0.078,0.184,0.181,0.827,0.062
12.716799,0.249,0.291,1.140,0.088,0.268,0.124,1.019,0.109
12.876799,0.296,0.337,0.666,0.083,0.230,0.469,0.864,0.072
13.025599000000001,0.260,0.263,0.580,0.078,0.190,0.240,0.825,0.061
13.185599000000002,0.245,0.260,0.558,0.079,0.132,0.307,0.809,0.056
13.345599,0.252,0.277,0.643,0.082,0.171,0.211,0.926,0.062
13.505599,0.263,0.274,0.635,0.076,0.269,0.140,0.861,0.066
13.665599,0.248,0.258,1.006,0.077,0.222,0.281,0.820,0.106
13.825599,0.249,0.267,0.597,0.078,0.220,0.291,0.843,0.054
13.985599,0.257,0.272,0.540,0.083,0.207,0.338,0.841,0.058
14.134399,0.396,0.432,0.732,0.088,0.174,0.318,0.962,0.068
14.294399,0.246,0.277,0.534,0.075,0.166,0.401,0.872,0.057
14.454399,0.250,0.280,0.664,0.075,0.170,0.511,0.821,0.066
14.614399,0.242,0.267,1.106,0.080,0.251,0.466,0.850,0.106
14.774399,0.245,0.265,0.733,0.074,0.232,0.276,0.783,0.079
14.934399,0.248,0.297,0.873,0.069,0.220,0.286,0.724,0.086
15.083199,0.264,0.319,0.782,0.072,0.225,0.301,0.763,0.082
15.243199,0.247,0.284,0.628,0.071,0.219,0.284,0.763,0.066
15.403199,0.238,0.298,0.627,0.072,0.221,0.258,0.769,0.063
15.563199000000001,0.278,0.302,0.573,0.081,0.218,0.267,0.842,0.058
15.723199000000001,0.278,0.351,0.557,0.071,0.198,0.357,0.782,0.051
15.883199000000001,0.256,0.296,0.714,0.071,0.302,0.590,0.810,0.070
16.031999,0.308,0.377,0.660,0.085,0.328,0.264,0.907,0.062
16.191999,0.259,0.290,0.651,0.074,0.272,0.249,0.783,0.069
16.351999,0.207,0.275,1.062,0.066,0.210,0.467,0.709,0.104
