epoch,d_a,g_a,cycle_a,idt_a,d_b,g_b,cycle_b,idt_b
1.0399990000000001,0.693,0.796,2.070,0.274,0.632,1.106,2.350,0.227
1.0799990000000002,0.363,0.453,1.717,0.192,0.389,0.735,1.945,0.176
1.1199990000000002,0.300,0.517,1.585,0.202,0.358,0.561,2.028,0.148
1.159999,0.307,0.326,2.334,0.183,0.429,0.392,1.635,0.205
1.199999,0.299,0.339,1.388,0.192,0.406,0.484,1.745,0.129
1.239999,0.284,0.288,1.427,0.177,0.246,0.458,1.574,0.156
1.279999,0.284,0.314,1.149,0.205,0.332,0.299,1.677,0.117
1.3199990000000001,0.246,0.370,1.278,0.150,0.290,0.382,1.557,0.112
1.359999,0.261,0.319,1.027,0.156,0.347,0.411,1.477,0.102
1.399999,0.265,0.445,1.358,0.135,0.322,0.455,1.222,0.124
1.439999,0.189,0.313,1.947,0.146,0.291,0.350,1.441,0.188
1.479999,0.262,0.396,1.065,0.150,0.231,0.316,1.613,0.103
1.519999,0.222,0.299,1.136,0.126,0.258,0.339,1.279,0.113
1.5599990000000001,0.310,0.260,1.443,0.161,0.247,0.403,1.561,0.121
1.5999990000000002,0.245,0.363,1.902,0.137,0.248,0.378,1.447,0.184
1.6399990000000002,0.207,0.286,0.867,0.121,0.212,0.309,1.211,0.083
1.6799990000000002,0.293,0.317,1.002,0.138,0.254,0.413,1.421,0.106
1.719999,0.380,0.514,0.910,0.112,0.264,0.328,1.147,0.087
1.759999,0.229,0.312,1.034,0.132,0.258,0.281,1.434,0.105
1.7999990000000001,0.218,0.373,1.658,0.136,0.252,0.281,1.420,0.161
1.839999,0.214,0.343,1.275,0.130,0.217,0.316,1.307,0.129
1.879999,0.186,0.328,1.209,0.120,0.206,0.342,1.187,0.115
1.919999,0.204,0.252,0.905,0.115,0.266,0.315,1.143,0.087
1.959999,0.254,0.315,0.976,0.147,0.232,0.327,1.517,0.084
1.999999,0.286,0.476,1.234,0.119,0.287,0.433,1.200,0.123
2.030399,0.192,0.363,1.041,0.146,0.443,0.585,1.670,0.088
2.0703989999999997,0.396,0.604,1.021,0.133,0.224,0.359,1.337,0.104
2.1103989999999997,0.350,0.963,1.547,0.126,0.258,0.320,1.269,0.129
2.1503989999999997,0.231,0.588,1.234,0.118,0.231,0.303,1.221,0.099
2.1903989999999998,0.217,0.408,1.117,0.133,0.229,0.343,1.324,0.084
2.230399,0.184,0.414,1.059,0.100,0.265,0.218,1.159,0.110
2.270399,0.296,0.619,1.037,0.116,0.228,0.471,1.201,0.085
2.310399,0.167,0.441,1.042,0.112,0.222,0.387,1.214,0.080
2.350399,0.157,0.293,0.998,0.106,0.203,0.464,1.091,0.098
2.390399,0.157,0.664,1.326,0.138,0.220,0.399,1.347,0.138
2.430399,0.205,0.307,1.097,0.119,0.215,0.339,1.193,0.113
2.470399,0.144,0.315,0.978,0.106,0.222,0.332,1.156,0.092
2.5103989999999996,0.200,0.555,1.266,0.129,0.230,0.234,1.412,0.114
2.5503989999999996,0.155,0.388,1.017,0.112,0.252,0.509,1.112,0.094
2.5903989999999997,0.188,0.188,1.056,0.099,0.232,0.385,1.111,0.113
2.6303989999999997,0.288,0.204,1.015,0.108,0.250,0.245,1.155,0.085
2.6703989999999997,0.199,0.276,0.863,0.127,0.232,0.442,1.413,0.077
2.710399,0.149,0.389,0.974,0.134,0.206,0.297,1.338,0.088
