epoch,d_a,g_a,cycle_a,idt_a,d_b,g_b,cycle_b,idt_b
278,0.007,0.837,0.720,0.051,0.038,0.780,0.625,0.047
278,0.029,1.247,0.695,0.055,0.029,1.026,0.641,0.049
278,0.007,1.018,0.658,0.055,0.027,0.774,0.666,0.049
278,0.006,0.969,0.659,0.051,0.036,0.729,0.610,0.045
278,0.006,1.086,0.604,0.061,0.040,0.918,0.685,0.045
278,0.010,0.759,0.607,0.050,0.024,1.251,0.630,0.042
278,0.015,0.762,0.617,0.059,0.019,1.339,0.695,0.044
278,0.011,0.876,0.697,0.063,0.047,1.130,0.726,0.051
278,0.013,0.979,0.719,0.059,0.024,0.853,0.724,0.050
278,0.014,1.034,0.579,0.054,0.013,1.207,0.642,0.042
278,0.010,0.851,0.633,0.052,0.020,0.808,0.674,0.051
278,0.012,0.908,0.744,0.052,0.032,0.656,0.657,0.053
278,0.008,0.984,0.581,0.047,0.027,0.828,0.578,0.040
278,0.017,1.065,0.690,0.055,0.059,0.814,0.638,0.053
278,0.012,1.016,0.635,0.063,0.015,1.039,0.751,0.048
278,0.006,1.108,0.638,0.048,0.021,1.116,0.586,0.044
278,0.006,1.204,0.671,0.046,0.028,1.057,0.560,0.046
278,0.005,0.946,0.613,0.053,0.028,0.660,0.642,0.046
278,0.006,0.922,0.693,0.054,0.030,0.871,0.651,0.050
278,0.007,1.150,0.600,0.062,0.038,0.890,0.717,0.042
278,0.007,0.941,0.665,0.063,0.015,0.954,0.752,0.047
278,0.006,0.981,0.620,0.054,0.024,0.894,0.674,0.042
278,0.006,1.010,0.623,0.049,0.028,0.967,0.608,0.042
278,0.018,0.774,0.736,0.051,0.015,0.897,0.646,0.055
278,0.008,1.236,0.769,0.055,0.016,0.831,0.582,0.057
279,0.007,1.016,0.628,0.059,0.050,1.143,0.691,0.042
279,0.008,0.950,0.675,0.048,0.036,0.857,0.595,0.048
279,0.013,1.145,0.650,0.065,0.014,1.201,0.730,0.051
279,0.013,0.842,0.623,0.055,0.027,1.084,0.697,0.044
279,0.006,0.893,0.659,0.050,0.019,0.839,0.614,0.048
279,0.006,1.147,0.631,0.048,0.023,1.182,0.552,0.043
279,0.007,1.009,0.679,0.057,0.053,0.946,0.681,0.044
279,0.009,0.901,0.587,0.051,0.036,0.869,0.602,0.044
279,0.007,0.907,0.697,0.059,0.017,0.778,0.697,0.048
279,0.005,0.898,0.901,0.057,0.045,0.649,0.708,0.087
279,0.008,1.049,0.646,0.051,0.015,0.856,0.588,0.058
279,0.005,1.107,0.674,0.063,0.021,0.897,0.699,0.063
279,0.007,0.898,0.700,0.071,0.065,0.594,0.776,0.050
279,0.007,1.046,0.612,0.059,0.057,1.052,0.677,0.049
279,0.005,1.035,0.595,0.061,0.024,0.818,0.679,0.043
279,0.007,1.111,0.772,0.054,0.018,0.838,0.661,0.059
279,0.008,0.736,0.661,0.053,0.021,0.879,0.663,0.045
279,0.008,0.943,0.655,0.050,0.020,0.870,0.668,0.047
279,0.006,0.805,0.606,0.059,0.035,1.403,0.725,0.040
279,0.012,0.907,0.737,0.053,0.034,1.043,0.659,0.051
279,0.012,1.138,0.658,0.056,0.027,0.895,0.665,0.044
279,0.005,0.919,0.616,0.058,0.026,0.952,0.683,0.043
279,0.010,0.850,0.705,0.052,0.023,0.834,0.658,0.049
279,0.005,0.957,0.691,0.053,0.013,1.123,0.718,0.047
279,0.006,0.962,0.786,0.052,0.019,0.739,0.621,0.061
280,0.005,1.146,0.733,0.056,0.051,1.124,0.651,0.048
280,0.007,0.875,0.660,0.062,0.017,0.841,0.705,0.044
280,0.010,0.802,0.658,0.057,0.013,0.854,0.677,0.044
280,0.007,1.056,0.656,0.070,0.048,0.630,0.733,0.045
280,0.005,0.829,0.633,0.047,0.015,1.098,0.591,0.042
