epoch,d_a,g_a,cycle_a,idt_a,d_b,g_b,cycle_b,idt_b
278.039999,0.007,0.837,0.720,0.051,0.038,0.780,0.625,0.047
278.079999,0.029,1.247,0.695,0.055,0.029,1.026,0.641,0.049
278.119999,0.007,1.018,0.658,0.055,0.027,0.774,0.666,0.049
278.159999,0.006,0.969,0.659,0.051,0.036,0.729,0.610,0.045
278.199999,0.006,1.086,0.604,0.061,0.040,0.918,0.685,0.045
278.239999,0.010,0.759,0.607,0.050,0.024,1.251,0.630,0.042
278.279999,0.015,0.762,0.617,0.059,0.019,1.339,0.695,0.044
278.319999,0.011,0.876,0.697,0.063,0.047,1.130,0.726,0.051
278.359999,0.013,0.979,0.719,0.059,0.024,0.853,0.724,0.050
278.399999,0.014,1.034,0.579,0.054,0.013,1.207,0.642,0.042
278.439999,0.010,0.851,0.633,0.052,0.020,0.808,0.674,0.051
278.479999,0.012,0.908,0.744,0.052,0.032,0.656,0.657,0.053
278.519999,0.008,0.984,0.581,0.047,0.027,0.828,0.578,0.040
278.559999,0.017,1.065,0.690,0.055,0.059,0.814,0.638,0.053
278.599999,0.012,1.016,0.635,0.063,0.015,1.039,0.751,0.048
278.639999,0.006,1.108,0.638,0.048,0.021,1.116,0.586,0.044
278.679999,0.006,1.204,0.671,0.046,0.028,1.057,0.560,0.046
278.71999900000003,0.005,0.946,0.613,0.053,0.028,0.660,0.642,0.046
278.759999,0.006,0.922,0.693,0.054,0.030,0.871,0.651,0.050
278.799999,0.007,1.150,0.600,0.062,0.038,0.890,0.717,0.042
278.839999,0.007,0.941,0.665,0.063,0.015,0.954,0.752,0.047
278.879999,0.006,0.981,0.620,0.054,0.024,0.894,0.674,0.042
278.919999,0.006,1.010,0.623,0.049,0.028,0.967,0.608,0.042
278.959999,0.018,0.774,0.736,0.051,0.015,0.897,0.646,0.055
278.999999,0.008,1.236,0.769,0.055,0.016,0.831,0.582,0.057
279.030399,0.007,1.016,0.628,0.059,0.050,1.143,0.691,0.042
279.070399,0.008,0.950,0.675,0.048,0.036,0.857,0.595,0.048
279.11039900000003,0.013,1.145,0.650,0.065,0.014,1.201,0.730,0.051
279.150399,0.013,0.842,0.623,0.055,0.027,1.084,0.697,0.044
279.190399,0.006,0.893,0.659,0.050,0.019,0.839,0.614,0.048
279.230399,0.006,1.147,0.631,0.048,0.023,1.182,0.552,0.043
279.270399,0.007,1.009,0.679,0.057,0.053,0.946,0.681,0.044
279.310399,0.009,0.901,0.587,0.051,0.036,0.869,0.602,0.044
279.350399,0.007,0.907,0.697,0.059,0.017,0.778,0.697,0.048
279.390399,0.005,0.898,0.901,0.057,0.045,0.649,0.708,0.087
279.430399,0.008,1.049,0.646,0.051,0.015,0.856,0.588,0.058
279.470399,0.005,1.107,0.674,0.063,0.021,0.897,0.699,0.063
279.510399,0.007,0.898,0.700,0.071,0.065,0.594,0.776,0.050
279.550399,0.007,1.046,0.612,0.059,0.057,1.052,0.677,0.049
279.590399,0.005,1.035,0.595,0.061,0.024,0.818,0.679,0.043
279.630399,0.007,1.111,0.772,0.054,0.018,0.838,0.661,0.059
279.670399,0.008,0.736,0.661,0.053,0.021,0.879,0.663,0.045
279.710399,0.008,0.943,0.655,0.050,0.020,0.870,0.668,0.047
279.750399,0.006,0.805,0.606,0.059,0.035,1.403,0.725,0.040
279.790399,0.012,0.907,0.737,0.053,0.034,1.043,0.659,0.051
279.830399,0.012,1.138,0.658,0.056,0.027,0.895,0.665,0.044
279.870399,0.005,0.919,0.616,0.058,0.026,0.952,0.683,0.043
279.910399,0.010,0.850,0.705,0.052,0.023,0.834,0.658,0.049
279.950399,0.005,0.957,0.691,0.053,0.013,1.123,0.718,0.047
279.990399,0.006,0.962,0.786,0.052,0.019,0.739,0.621,0.061
280.020799,0.005,1.146,0.733,0.056,0.051,1.124,0.651,0.048
280.060799,0.007,0.875,0.660,0.062,0.017,0.841,0.705,0.044
280.100799,0.010,0.802,0.658,0.057,0.013,0.854,0.677,0.044
280.140799,0.007,1.056,0.656,0.070,0.048,0.630,0.733,0.045
280.180799,0.005,0.829,0.633,0.047,0.015,1.098,0.591,0.042
280.220799,0.012,0.934,0.707,0.052,0.018,1.235,0.679,0.054
280.260799,0.005,0.993,0.729,0.057,0.019,0.786,0.706,0.049
280.300799,0.007,0.819,0.650,0.053,0.030,0.797,0.608,0.047
280.340799,0.009,0.959,0.683,0.050,0.016,0.912,0.630,0.058
280.380799,0.014,0.909,0.626,0.052,0.041,0.934,0.623,0.042
280.420799,0.005,0.866,0.693,0.050,0.031,0.893,0.643,0.053
280.460799,0.008,1.124,0.734,0.058,0.031,0.703,0.719,0.059
280.50079900000003,0.007,1.025,0.598,0.058,0.012,1.024,0.679,0.042
280.540799,0.006,1.244,0.748,0.052,0.014,1.294,0.602,0.052
280.580799,0.007,0.976,0.750,0.064,0.028,0.745,0.729,0.056
280.620799,0.009,0.942,0.635,0.052,0.022,0.951,0.714,0.046
280.660799,0.007,1.143,0.620,0.055,0.024,0.896,0.653,0.040
280.700799,0.006,1.030,0.649,0.053,0.016,0.924,0.633,0.046
280.740799,0.008,1.019,0.816,0.060,0.029,0.848,0.663,0.065
280.780799,0.015,1.161,0.632,0.049,0.025,0.689,0.612,0.046
280.820799,0.008,0.880,0.594,0.053,0.022,0.753,0.622,0.039
280.860799,0.011,0.957,0.677,0.061,0.014,1.073,0.667,0.050
280.900799,0.016,0.908,0.672,0.048,0.014,0.551,0.570,0.045
280.940799,0.006,1.132,0.633,0.052,0.040,0.936,0.637,0.045
280.980799,0.005,0.892,0.634,0.058,0.037,0.792,0.703,0.045
281.011199,0.025,0.635,0.638,0.053,0.015,0.646,0.618,0.050
281.051199,0.005,1.101,0.641,0.055,0.017,0.885,0.674,0.043
281.091199,0.006,1.177,0.644,0.053,0.012,1.040,0.807,0.044
281.131199,0.009,0.868,0.630,0.051,0.019,0.986,0.626,0.046
281.171199,0.006,0.965,0.579,0.057,0.053,1.242,0.701,0.041
281.211199,0.009,0.816,0.662,0.052,0.013,1.178,0.636,0.050
281.251199,0.018,1.089,0.602,0.047,0.046,0.800,0.594,0.041
281.291199,0.006,0.943,0.620,0.059,0.014,0.848,0.719,0.043
281.331199,0.008,1.031,0.682,0.050,0.017,0.855,0.613,0.049
281.371199,0.005,0.917,0.668,0.063,0.023,0.717,0.717,0.048
281.411199,0.014,0.928,0.670,0.057,0.031,1.229,0.642,0.048
281.451199,0.005,0.995,0.634,0.059,0.019,1.244,0.724,0.043
281.491199,0.007,1.005,0.698,0.051,0.031,0.741,0.601,0.051
